class A,class B,mean,median,std
lm555cmx,lm555cmx,0.5095,0.5058333333333334,0.020290254913244557
lm555cmx,lmc555im,1.0,1.0,0.0
lm555cmx,lmc555imx,1.0,1.0,0.0
lm555cmx,msp430g2210id,1.0,1.0,0.0
lm555cmx,msp430g2210idr,1.0,1.0,0.0
lm555cmx,msp430g2230id,1.0,1.0,0.0
lm555cmx,msp430g2230idr,1.0,1.0,0.0
lmc555im,lm555cmx,1.0,1.0,0.0
lmc555im,lmc555im,0.4956666666666667,0.4925,0.019382122346808844
lmc555im,lmc555imx,0.9673333333333334,0.9691666666666667,0.006155395104206469
lmc555im,msp430g2210id,1.0,1.0,0.0
lmc555im,msp430g2210idr,1.0,1.0,0.0
lmc555im,msp430g2230id,1.0,1.0,0.0
lmc555im,msp430g2230idr,1.0,1.0,0.0
lmc555imx,lm555cmx,1.0,1.0,0.0
lmc555imx,lmc555im,0.9705,0.9716666666666667,0.004017323597731315
lmc555imx,lmc555imx,0.5093333333333334,0.5216666666666666,0.025420901286583475
lmc555imx,msp430g2210id,1.0,1.0,0.0
lmc555imx,msp430g2210idr,1.0,1.0,0.0
lmc555imx,msp430g2230id,1.0,1.0,0.0
lmc555imx,msp430g2230idr,1.0,1.0,0.0
msp430g2210id,lm555cmx,1.0,1.0,0.0
msp430g2210id,lmc555im,1.0,1.0,0.0
msp430g2210id,lmc555imx,1.0,1.0,0.0
msp430g2210id,msp430g2210id,0.5038333333333334,0.5025,0.015330615701196672
msp430g2210id,msp430g2210idr,0.9466666666666665,0.9466666666666667,0.010878112581387149
msp430g2210id,msp430g2230id,1.0,1.0,0.0
msp430g2210id,msp430g2230idr,1.0,1.0,0.0
msp430g2210idr,lm555cmx,1.0,1.0,0.0
msp430g2210idr,lmc555im,1.0,1.0,0.0
msp430g2210idr,lmc555imx,1.0,1.0,0.0
msp430g2210idr,msp430g2210id,0.9400000000000001,0.9425,0.008465616732800189
msp430g2210idr,msp430g2210idr,0.4998333333333333,0.5025,0.022291627725822685
msp430g2210idr,msp430g2230id,1.0,1.0,0.0
msp430g2210idr,msp430g2230idr,1.0,1.0,0.0
msp430g2230id,lm555cmx,1.0,1.0,0.0
msp430g2230id,lmc555im,1.0,1.0,0.0
msp430g2230id,lmc555imx,1.0,1.0,0.0
msp430g2230id,msp430g2210id,1.0,1.0,0.0
msp430g2230id,msp430g2210idr,1.0,1.0,0.0
msp430g2230id,msp430g2230id,0.48933333333333334,0.4841666666666667,0.01709775813764289
msp430g2230id,msp430g2230idr,0.9503333333333334,0.9516666666666667,0.011803954139750508
msp430g2230idr,lm555cmx,1.0,1.0,0.0
msp430g2230idr,lmc555im,1.0,1.0,0.0
msp430g2230idr,lmc555imx,1.0,1.0,0.0
msp430g2230idr,msp430g2210id,1.0,1.0,0.0
msp430g2230idr,msp430g2210idr,1.0,1.0,0.0
msp430g2230idr,msp430g2230id,0.952,0.9516666666666667,0.004203173404306177
msp430g2230idr,msp430g2230idr,0.5026666666666667,0.5008333333333334,0.01588500340992513
